Condition;instanceID;nD;Time1;Time2;Time3;SearchNodes1;SearchNodes2;SearchNodes3
L-Equals;1;8;11;9;7;99;99;99
L-Equals;2;8;13;13;14;263;263;263
L-Equals;3;8;8;8;8;172;172;172
L-Equals;4;8;6;6;6;146;146;146
L-Equals;5;8;6;7;9;154;154;154
L-Equals;6;8;8;9;9;243;233;233
L-Equals;7;8;6;6;7;191;190;191
L-Equals;8;8;1;1;1;22;22;22
L-Equals;9;8;6;6;6;163;163;163
L-Equals;10;8;16;15;13;460;411;329
L-Equals;11;8;7;7;7;187;187;187
L-Equals;12;8;2;2;2;55;55;55
L-Equals;13;8;2;2;2;44;44;44
L-Equals;14;8;5;5;6;150;150;150
L-Equals;15;8;1;1;1;24;24;24
L-Equals;16;8;5;5;5;108;108;108
L-Equals;17;8;7;8;8;215;215;215
L-Equals;18;8;5;6;6;137;137;137
L-Equals;19;8;1;1;1;42;42;42
L-Equals;20;8;1;1;1;48;48;48
L-Equals;21;8;1;1;1;49;49;49
L-Equals;22;8;3;3;3;81;81;81
L-Equals;23;8;2;2;2;63;63;63
L-Equals;24;8;3;4;3;95;95;95
L-Equals;25;8;7;7;8;247;247;247
L-Equals;26;8;7;7;7;215;215;215
L-Equals;27;8;3;3;3;86;86;86
L-Equals;28;8;2;2;2;59;59;59
L-Equals;29;8;1;1;1;21;21;21
L-Equals;30;8;3;3;3;95;95;95
L-Equals;31;8;7;7;8;240;240;240
L-Equals;32;8;3;3;3;69;69;69
L-Equals;33;8;10;10;10;388;388;388
L-Equals;34;8;4;4;4;141;141;141
L-Equals;35;8;2;2;2;66;66;66
L-Equals;36;8;10;10;10;388;388;388
L-Equals;37;8;16;15;17;697;583;648
L-Equals;38;8;1;1;1;40;40;40
L-Equals;39;8;3;4;4;110;110;110
L-Equals;40;8;4;5;5;140;156;158
L-Equals;41;8;2;3;3;74;74;74
L-Equals;42;8;13;12;13;448;448;448
L-Equals;43;8;1;1;1;51;51;51
L-Equals;44;8;2;2;2;74;74;74
L-Equals;45;8;12;12;12;422;404;404
L-Equals;46;8;1;1;1;19;19;19
L-Equals;47;8;7;8;8;250;238;247
L-Equals;48;8;2;2;2;69;69;69
L-Equals;49;8;7;7;7;249;249;249
L-Equals;50;8;1;1;1;31;31;31
L-Equals;51;8;6;6;7;203;184;203
L-Equals;52;8;1;1;1;41;41;41
L-Equals;53;8;2;2;2;52;65;52
L-Equals;54;8;4;4;3;141;141;101
L-Equals;55;8;3;3;3;95;95;95
L-Equals;56;8;4;4;5;160;160;160
L-Equals;57;8;3;3;3;106;113;106
L-Equals;58;8;5;5;6;165;165;165
L-Equals;59;8;1;1;1;29;29;29
L-Equals;60;8;2;2;2;63;63;63
L-Equals;61;8;5;5;5;174;176;174
L-Equals;62;8;2;2;2;64;64;64
L-Equals;63;8;4;4;5;153;153;153
L-Equals;64;8;3;3;4;101;101;101
L-Equals;65;8;6;6;7;225;225;225
L-Equals;66;8;3;3;4;129;129;129
L-Equals;67;8;9;9;10;261;251;261
L-Equals;68;8;7;7;8;249;249;249
L-Equals;69;8;1;1;1;51;51;51
L-Equals;70;8;4;3;5;142;78;142
L-Equals;71;8;2;2;2;59;59;59
L-Equals;72;8;1;1;1;43;43;43
L-Equals;73;8;4;5;5;156;156;156
L-Equals;74;8;12;12;13;524;524;524
L-Equals;75;8;1;1;1;35;35;35
L-Equals;76;8;15;16;18;612;611;612
L-Equals;77;8;6;6;7;217;215;215
L-Equals;78;8;6;6;7;180;180;180
L-Equals;79;8;2;2;2;53;53;53
L-Equals;80;8;1;1;1;28;28;28
L-Equals;81;8;1;1;1;39;39;39
L-Equals;82;8;3;3;3;118;117;118
L-Equals;83;8;11;12;12;383;383;339
L-Equals;84;8;1;1;1;11;11;11
L-Equals;85;8;3;4;4;136;136;136
L-Equals;86;8;5;5;5;172;172;172
L-Equals;87;8;6;6;6;217;215;215
L-Equals;88;8;2;3;3;77;77;77
L-Equals;89;8;5;5;6;165;165;165
L-Equals;90;8;5;5;5;177;177;177
L-Equals;91;8;2;3;3;77;77;77
L-Equals;92;8;5;5;6;179;179;179
L-Equals;93;8;4;4;4;144;144;144
L-Equals;94;8;1;1;1;40;40;40
L-Equals;95;8;3;3;3;111;111;111
L-Equals;96;8;1;1;1;32;32;32
L-Equals;97;8;4;4;4;132;132;132
L-Equals;98;8;4;4;5;144;144;144
L-Equals;99;8;1;1;1;43;43;43
L-Equals;100;8;2;2;2;56;56;56
