Condition;instanceID;nD;Time1;Time2;Time3;SearchNodes1;SearchNodes2;SearchNodes3
L-Single;1;8;3;2;1;5;5;5
L-Single;2;8;1;1;1;6;6;6
L-Single;3;8;1;1;1;3;3;3
L-Single;4;8;1;1;1;4;4;4
L-Single;5;8;1;1;1;5;5;5
L-Single;6;8;1;1;1;2;2;2
L-Single;7;8;1;1;1;1;1;1
L-Single;8;8;1;1;1;3;3;3
L-Single;9;8;1;1;1;2;2;2
L-Single;10;8;1;1;1;4;4;4
L-Single;11;8;1;1;1;5;5;5
L-Single;12;8;1;1;1;4;4;4
L-Single;13;8;1;1;1;2;2;2
L-Single;14;8;1;1;1;4;4;4
L-Single;15;8;1;1;1;3;3;3
L-Single;16;8;1;1;1;2;2;2
L-Single;17;8;1;1;1;4;4;4
L-Single;18;8;1;1;1;4;4;4
L-Single;19;8;1;1;1;3;3;3
L-Single;20;8;1;1;1;2;2;2
L-Single;21;8;1;1;1;3;3;3
L-Single;22;8;1;1;1;5;5;5
L-Single;23;8;1;1;1;4;4;4
L-Single;24;8;1;1;1;2;2;2
L-Single;25;8;1;1;1;4;4;4
L-Single;26;8;1;1;1;2;2;2
L-Single;27;8;1;1;1;4;4;4
L-Single;28;8;1;1;1;3;3;3
L-Single;29;8;1;1;1;3;3;3
L-Single;30;8;1;1;1;3;3;3
L-Single;31;8;1;1;1;6;6;6
L-Single;32;8;1;1;1;4;4;4
L-Single;33;8;1;1;1;3;3;3
L-Single;34;8;1;1;1;1;1;1
L-Single;35;8;1;1;1;1;1;1
L-Single;36;8;1;1;1;4;4;4
L-Single;37;8;1;1;1;3;3;3
L-Single;38;8;1;1;1;3;3;3
L-Single;39;8;1;1;1;3;3;3
L-Single;40;8;1;1;1;3;3;3
L-Single;41;8;1;1;1;3;3;3
L-Single;42;8;1;1;1;2;2;2
L-Single;43;8;1;1;1;1;1;1
L-Single;44;8;1;1;1;3;3;3
L-Single;45;8;1;1;1;6;6;6
L-Single;46;8;1;1;1;3;3;3
L-Single;47;8;1;1;1;5;5;5
L-Single;48;8;1;1;1;4;4;4
L-Single;49;8;1;1;1;3;3;3
L-Single;50;8;1;1;1;2;2;2
L-Single;51;8;1;1;1;7;7;7
L-Single;52;8;1;1;1;2;2;2
L-Single;53;8;1;1;1;5;5;5
L-Single;54;8;1;1;1;3;3;3
L-Single;55;8;1;1;1;2;2;2
L-Single;56;8;1;1;1;5;5;5
L-Single;57;8;1;1;1;2;2;2
L-Single;58;8;1;1;1;4;4;4
L-Single;59;8;1;1;1;2;2;2
L-Single;60;8;1;1;1;1;1;1
L-Single;61;8;1;1;1;3;3;3
L-Single;62;8;1;1;1;2;2;2
L-Single;63;8;1;1;1;4;4;4
L-Single;64;8;1;1;1;2;2;2
L-Single;65;8;1;1;1;3;3;3
L-Single;66;8;1;1;1;2;2;2
L-Single;67;8;1;1;1;4;4;4
L-Single;68;8;1;1;1;1;1;1
L-Single;69;8;1;1;1;4;4;4
L-Single;70;8;1;1;1;2;2;2
L-Single;71;8;1;1;1;5;5;5
L-Single;72;8;1;1;1;3;3;3
L-Single;73;8;1;1;1;2;2;2
L-Single;74;8;1;1;1;3;3;3
L-Single;75;8;1;1;1;4;4;4
L-Single;76;8;1;1;1;3;3;3
L-Single;77;8;1;1;1;4;4;4
L-Single;78;8;1;1;1;7;7;7
L-Single;79;8;1;1;1;2;2;2
L-Single;80;8;1;1;1;5;5;5
L-Single;81;8;1;1;1;5;5;5
L-Single;82;8;1;1;1;3;3;3
L-Single;83;8;1;1;1;2;2;2
L-Single;84;8;1;1;1;3;3;3
L-Single;85;8;1;1;1;1;1;1
L-Single;86;8;1;1;1;4;4;4
L-Single;87;8;1;1;1;5;5;5
L-Single;88;8;1;1;1;3;3;3
L-Single;89;8;1;1;1;2;2;2
L-Single;90;8;1;1;1;5;5;5
L-Single;91;8;1;1;1;3;3;3
L-Single;92;8;1;1;1;5;5;5
L-Single;93;8;1;1;1;2;2;2
L-Single;94;8;1;1;1;3;3;3
L-Single;95;8;1;1;1;2;2;2
L-Single;96;8;1;1;1;3;3;3
L-Single;97;8;1;1;1;3;3;3
L-Single;98;8;1;1;1;3;3;3
L-Single;99;8;1;1;1;3;3;3
L-Single;100;8;1;1;1;1;1;1
