Condition;instanceID;nD;Time1;Time2;Time3;SearchNodes1;SearchNodes2;SearchNodes3
L-Sum;1;8;40;34;32;989;1019;977
L-Sum;2;8;8;8;9;284;284;284
L-Sum;3;8;1;1;1;67;67;67
L-Sum;4;8;5;5;5;200;200;200
L-Sum;5;8;2;2;2;118;118;118
L-Sum;6;8;86;94;77;3237;3195;2352
L-Sum;7;8;1;1;1;26;26;26
L-Sum;8;8;13;15;15;583;583;583
L-Sum;9;8;4;5;5;169;169;169
L-Sum;10;8;23;36;28;781;1112;796
L-Sum;11;8;1;1;1;38;38;38
L-Sum;12;8;8;7;9;302;257;296
L-Sum;13;8;2;2;3;161;161;161
L-Sum;14;8;1;1;1;50;50;50
L-Sum;15;8;6;7;7;262;262;262
L-Sum;16;8;8;10;13;419;542;611
L-Sum;17;8;1;1;1;14;14;14
L-Sum;18;8;2;2;2;110;110;110
L-Sum;19;8;24;47;40;1077;1959;1486
L-Sum;20;8;6;6;6;358;358;358
L-Sum;21;8;32;37;39;1438;1560;1560
L-Sum;22;8;1;1;1;16;16;16
L-Sum;23;8;9;11;10;402;378;391
L-Sum;24;8;73;68;85;2900;2575;3010
L-Sum;25;8;2;2;2;75;75;75
L-Sum;26;8;115;119;150;4756;4484;4766
L-Sum;27;8;1;1;1;15;15;15
L-Sum;28;8;4;4;4;202;202;202
L-Sum;29;8;8;9;8;272;290;272
L-Sum;30;8;41;44;62;1452;1452;1927
L-Sum;31;8;1;1;1;40;40;40
L-Sum;32;8;14;15;17;445;437;500
L-Sum;33;8;1;1;1;58;58;58
L-Sum;34;8;3;3;3;175;175;175
L-Sum;35;8;1;1;1;48;48;48
L-Sum;36;8;7;7;7;320;320;320
L-Sum;37;8;20;31;25;934;1225;921
L-Sum;38;8;20;22;60;1048;1031;2534
L-Sum;39;8;3;4;4;128;128;128
L-Sum;40;8;18;20;19;746;764;704
L-Sum;41;8;2;2;2;83;78;78
L-Sum;42;8;3;3;3;117;117;117
L-Sum;43;8;3;3;3;162;185;162
L-Sum;44;8;32;38;38;1606;1811;1700
L-Sum;45;8;200;265;241;8489;10170;8572
L-Sum;46;8;18;18;19;692;622;620
L-Sum;47;8;15;13;13;520;427;427
L-Sum;48;8;74;173;108;3489;6832;4078
L-Sum;49;8;1;1;1;30;27;30
L-Sum;50;8;28;38;37;1079;1227;1084
L-Sum;51;8;14;15;5;602;609;179
L-Sum;52;8;3;3;3;157;146;157
L-Sum;53;8;15;16;17;588;588;588
L-Sum;54;8;1;1;1;33;33;33
L-Sum;55;8;1;1;1;16;16;16
L-Sum;56;8;4;4;4;214;214;214
L-Sum;57;8;2;2;2;75;75;75
L-Sum;58;8;2;2;2;112;112;112
L-Sum;59;8;1;1;1;71;71;71
L-Sum;60;8;2;2;2;133;133;133
L-Sum;61;8;1;1;1;41;41;41
L-Sum;62;8;23;35;50;1184;1402;2023
L-Sum;63;8;1;1;1;10;10;10
L-Sum;64;8;17;18;19;842;842;842
L-Sum;65;8;4;5;5;215;215;215
L-Sum;66;8;46;76;84;1712;2527;2527
L-Sum;67;8;11;13;13;520;562;536
L-Sum;68;8;8;8;9;341;341;341
L-Sum;69;8;6;6;7;271;271;307
L-Sum;70;8;1;1;2;72;72;72
L-Sum;71;8;12;13;14;616;616;616
L-Sum;72;8;133;109;168;5591;4063;5934
L-Sum;73;8;6;7;7;275;275;275
L-Sum;74;8;21;25;28;871;893;973
L-Sum;75;8;14;15;10;628;628;380
L-Sum;76;8;22;21;23;1032;878;878
L-Sum;77;8;20;21;17;1316;1316;986
L-Sum;78;8;1;1;1;15;15;15
L-Sum;79;8;52;65;78;1813;2159;2280
L-Sum;80;8;4;5;5;185;185;185
L-Sum;81;8;28;28;47;1513;1318;2068
L-Sum;82;8;17;18;19;677;677;677
L-Sum;83;8;18;9;9;903;414;414
L-Sum;84;8;7;14;15;295;512;512
L-Sum;85;8;82;96;108;3801;3877;3877
L-Sum;86;8;5;4;5;244;187;189
L-Sum;87;8;16;17;18;721;721;721
L-Sum;88;8;1;1;1;12;12;12
L-Sum;89;8;170;188;194;6753;6760;6564
L-Sum;90;8;32;36;39;1800;1800;1800
L-Sum;91;8;43;67;75;1561;2276;2342
L-Sum;92;8;1;1;1;28;28;28
L-Sum;93;8;1;1;1;50;50;50
L-Sum;94;8;5;6;6;291;291;291
L-Sum;95;8;16;17;18;728;728;728
L-Sum;96;8;1;1;1;15;15;15
L-Sum;97;8;28;30;41;961;995;1338
L-Sum;98;8;30;38;39;1152;1342;1299
L-Sum;99;8;49;54;69;2068;2096;2508
L-Sum;100;8;5;5;6;238;238;238
