Condition;instanceID;nD;Time1;Time2;Time3;SearchNodes1;SearchNodes2;SearchNodes3
Square-Equals;1;8;12;10;11;120;120;120
Square-Equals;2;8;4;3;3;57;57;57
Square-Equals;3;8;3;3;3;45;45;45
Square-Equals;4;8;10;10;5;178;178;82
Square-Equals;5;8;2;2;2;49;49;49
Square-Equals;6;8;6;7;8;118;118;118
Square-Equals;7;8;2;4;2;41;71;41
Square-Equals;8;8;6;6;6;140;140;140
Square-Equals;9;8;1;1;1;25;25;26
Square-Equals;10;8;1;1;1;21;21;21
Square-Equals;11;8;9;9;9;203;203;203
Square-Equals;12;8;1;1;1;26;26;26
Square-Equals;13;8;5;6;6;124;124;124
Square-Equals;14;8;5;5;5;113;113;113
Square-Equals;15;8;8;9;11;209;209;257
Square-Equals;16;8;12;11;11;342;305;305
Square-Equals;17;8;10;11;10;230;230;230
Square-Equals;18;8;1;1;1;35;35;35
Square-Equals;19;8;21;22;23;464;464;464
Square-Equals;20;8;8;9;10;221;212;218
Square-Equals;21;8;1;1;1;18;18;18
Square-Equals;22;8;6;7;7;166;166;166
Square-Equals;23;8;8;8;9;224;224;224
Square-Equals;24;8;6;6;5;161;161;161
Square-Equals;25;8;6;6;5;175;175;146
Square-Equals;26;8;8;8;8;227;227;217
Square-Equals;27;8;1;1;1;24;24;24
Square-Equals;28;8;15;16;17;394;394;407
Square-Equals;29;8;7;7;8;191;191;191
Square-Equals;30;8;13;14;14;315;315;315
Square-Equals;31;8;2;2;2;50;50;50
Square-Equals;32;8;9;9;9;218;218;193
Square-Equals;33;8;11;12;13;264;264;264
Square-Equals;34;8;6;6;7;172;172;172
Square-Equals;35;8;3;3;3;101;101;101
Square-Equals;36;8;9;9;10;244;236;244
Square-Equals;37;8;4;5;5;153;160;153
Square-Equals;38;8;11;12;13;347;347;342
Square-Equals;39;8;6;6;7;198;198;198
Square-Equals;40;8;6;7;7;161;161;161
Square-Equals;41;8;5;5;5;105;105;105
Square-Equals;42;8;5;5;6;160;160;160
Square-Equals;43;8;1;1;1;21;21;21
Square-Equals;44;8;5;5;5;143;143;143
Square-Equals;45;8;13;13;14;332;332;332
Square-Equals;46;8;3;3;3;81;74;81
Square-Equals;47;8;6;6;6;170;170;170
Square-Equals;48;8;9;9;10;271;271;276
Square-Equals;49;8;19;20;21;507;507;507
Square-Equals;50;8;6;6;7;183;183;183
Square-Equals;51;8;2;2;2;60;60;60
Square-Equals;52;8;1;1;1;12;12;12
Square-Equals;53;8;3;3;3;88;88;88
Square-Equals;54;8;2;2;2;70;70;70
Square-Equals;55;8;6;6;11;165;165;291
Square-Equals;56;8;6;7;7;180;180;180
Square-Equals;57;8;2;2;2;65;65;65
Square-Equals;58;8;8;8;8;197;197;197
Square-Equals;59;8;2;2;2;59;59;59
Square-Equals;60;8;13;14;15;437;437;437
Square-Equals;61;8;1;1;1;13;13;13
Square-Equals;62;8;3;4;4;130;130;130
Square-Equals;63;8;2;2;2;74;74;74
Square-Equals;64;8;1;1;1;22;22;22
Square-Equals;65;8;1;1;1;36;36;36
Square-Equals;66;8;4;3;3;122;88;88
Square-Equals;67;8;4;4;4;131;131;131
Square-Equals;68;8;6;6;6;143;143;143
Square-Equals;69;8;21;21;25;534;534;578
Square-Equals;70;8;6;6;7;209;209;209
Square-Equals;71;8;9;9;10;217;217;217
Square-Equals;72;8;3;3;3;86;86;86
Square-Equals;73;8;4;4;4;99;99;99
Square-Equals;74;8;4;5;5;130;130;130
Square-Equals;75;8;7;7;7;185;185;185
Square-Equals;76;8;10;10;10;263;263;263
Square-Equals;77;8;2;2;2;73;73;73
Square-Equals;78;8;4;4;4;127;127;127
Square-Equals;79;8;1;1;1;38;38;38
Square-Equals;80;8;10;10;11;282;282;282
Square-Equals;81;8;17;17;25;443;437;594
Square-Equals;82;8;8;8;8;196;196;196
Square-Equals;83;8;2;5;3;68;124;68
Square-Equals;84;8;6;7;7;160;160;160
Square-Equals;85;8;2;2;2;63;63;63
Square-Equals;86;8;1;1;1;36;36;36
Square-Equals;87;8;2;2;2;66;46;46
Square-Equals;88;8;8;7;7;229;217;201
Square-Equals;89;8;2;2;2;51;51;51
Square-Equals;90;8;1;1;1;15;15;15
Square-Equals;91;8;1;1;1;17;17;17
Square-Equals;92;8;8;8;9;249;246;246
Square-Equals;93;8;15;18;24;383;440;543
Square-Equals;94;8;1;1;1;29;29;29
Square-Equals;95;8;4;4;4;110;110;110
Square-Equals;96;8;3;3;4;94;94;94
Square-Equals;97;8;11;11;13;380;369;380
Square-Equals;98;8;3;3;3;86;86;86
Square-Equals;99;8;10;11;11;282;282;282
Square-Equals;100;8;7;7;7;191;191;191
