Condition;instanceID;nD;Time1;Time2;Time3;SearchNodes1;SearchNodes2;SearchNodes3
Square-Single;1;8;2;1;1;3;3;3
Square-Single;2;8;1;1;1;5;5;5
Square-Single;3;8;1;1;1;3;3;3
Square-Single;4;8;1;1;1;7;7;7
Square-Single;5;8;1;1;1;6;6;6
Square-Single;6;8;1;1;1;3;3;3
Square-Single;7;8;1;1;1;4;4;4
Square-Single;8;8;1;1;1;2;2;2
Square-Single;9;8;1;1;1;6;6;6
Square-Single;10;8;1;1;1;4;4;4
Square-Single;11;8;1;1;1;2;2;2
Square-Single;12;8;1;1;1;6;6;6
Square-Single;13;8;1;1;1;5;5;5
Square-Single;14;8;1;1;1;4;4;4
Square-Single;15;8;1;1;1;6;6;6
Square-Single;16;8;1;1;1;3;3;3
Square-Single;17;8;1;1;1;3;3;3
Square-Single;18;8;1;1;1;7;7;7
Square-Single;19;8;1;1;1;4;4;4
Square-Single;20;8;1;1;1;6;6;6
Square-Single;21;8;1;1;1;5;5;5
Square-Single;22;8;1;1;1;8;8;8
Square-Single;23;8;1;1;1;5;5;5
Square-Single;24;8;1;1;1;5;5;5
Square-Single;25;8;1;1;1;5;5;5
Square-Single;26;8;1;1;1;5;5;5
Square-Single;27;8;1;1;1;5;5;5
Square-Single;28;8;1;1;1;5;5;5
Square-Single;29;8;1;1;1;5;5;5
Square-Single;30;8;1;1;1;5;5;5
Square-Single;31;8;1;1;1;3;3;3
Square-Single;32;8;1;1;1;7;7;7
Square-Single;33;8;1;1;1;2;2;2
Square-Single;34;8;1;1;1;7;7;7
Square-Single;35;8;1;1;1;6;6;6
Square-Single;36;8;1;1;1;3;3;3
Square-Single;37;8;1;1;1;3;3;3
Square-Single;38;8;1;1;1;3;3;3
Square-Single;39;8;1;1;1;6;6;6
Square-Single;40;8;1;1;1;5;5;5
Square-Single;41;8;1;1;1;5;5;5
Square-Single;42;8;1;1;1;2;2;2
Square-Single;43;8;1;1;1;6;6;6
Square-Single;44;8;1;1;1;2;2;2
Square-Single;45;8;1;1;1;10;10;10
Square-Single;46;8;1;1;1;3;3;3
Square-Single;47;8;1;1;1;4;4;4
Square-Single;48;8;1;1;1;4;4;4
Square-Single;49;8;1;1;1;5;5;5
Square-Single;50;8;1;1;1;8;8;8
Square-Single;51;8;1;1;1;5;5;5
Square-Single;52;8;1;1;1;2;2;2
Square-Single;53;8;1;1;1;3;3;3
Square-Single;54;8;1;1;1;3;3;3
Square-Single;55;8;1;1;1;2;2;2
Square-Single;56;8;1;1;1;4;4;4
Square-Single;57;8;1;1;1;4;4;4
Square-Single;58;8;1;1;1;4;4;4
Square-Single;59;8;1;1;1;4;4;4
Square-Single;60;8;1;1;1;3;3;3
Square-Single;61;8;1;1;1;4;4;4
Square-Single;62;8;1;1;1;9;9;9
Square-Single;63;8;1;1;1;5;5;5
Square-Single;64;8;1;1;1;4;4;4
Square-Single;65;8;1;1;1;5;5;5
Square-Single;66;8;1;1;1;4;4;4
Square-Single;67;8;1;1;1;2;2;2
Square-Single;68;8;1;1;1;2;2;2
Square-Single;69;8;1;1;1;4;4;4
Square-Single;70;8;1;1;1;4;4;4
Square-Single;71;8;1;1;1;5;5;5
Square-Single;72;8;1;1;1;5;5;5
Square-Single;73;8;1;1;1;3;3;3
Square-Single;74;8;1;1;1;7;7;7
Square-Single;75;8;1;1;1;2;2;2
Square-Single;76;8;1;1;1;3;3;3
Square-Single;77;8;1;1;1;4;4;4
Square-Single;78;8;1;1;1;3;3;3
Square-Single;79;8;1;1;1;4;4;4
Square-Single;80;8;1;1;1;6;6;6
Square-Single;81;8;1;1;1;3;3;3
Square-Single;82;8;1;1;1;5;5;5
Square-Single;83;8;1;1;1;2;2;2
Square-Single;84;8;1;1;1;4;4;4
Square-Single;85;8;1;1;1;3;3;3
Square-Single;86;8;1;1;1;3;3;3
Square-Single;87;8;1;1;1;5;5;5
Square-Single;88;8;1;1;1;5;5;5
Square-Single;89;8;1;1;1;7;7;7
Square-Single;90;8;1;1;1;3;3;3
Square-Single;91;8;1;1;1;5;5;5
Square-Single;92;8;1;1;1;5;5;5
Square-Single;93;8;1;1;1;5;5;5
Square-Single;94;8;1;1;1;6;6;6
Square-Single;95;8;1;1;1;4;4;4
Square-Single;96;8;1;1;1;5;5;5
Square-Single;97;8;1;1;1;5;5;5
Square-Single;98;8;1;1;1;8;8;8
Square-Single;99;8;1;1;1;3;3;3
Square-Single;100;8;1;1;1;5;5;5
