Condition;instanceID;nD;Time1;Time2;Time3;SearchNodes1;SearchNodes2;SearchNodes3
Square-Sum;1;8;460;150;731;14908;4671;19573
Square-Sum;2;8;62;64;92;1922;1666;2365
Square-Sum;3;8;123;73;232;4519;2382;7066
Square-Sum;4;8;1;1;1;20;20;20
Square-Sum;5;8;55;63;67;1921;2044;2015
Square-Sum;6;8;24;27;26;792;792;678
Square-Sum;7;8;1;1;1;14;14;14
Square-Sum;8;8;2749;1754;2707;115284;64818;86406
Square-Sum;9;8;141;95;173;5465;2885;5062
Square-Sum;10;8;213;31;33;7080;1055;1058
Square-Sum;11;8;1210;2366;2129;39938;68088;52564
Square-Sum;12;8;100;125;239;4577;4879;7803
Square-Sum;13;8;29;93;101;899;2667;2646
Square-Sum;14;8;103;167;126;4193;6073;4313
Square-Sum;15;8;197;207;189;6936;6325;5196
Square-Sum;16;8;349;398;377;11316;11606;9868
Square-Sum;17;8;11;11;12;431;431;431
Square-Sum;18;8;55;41;66;2065;1438;2036
Square-Sum;19;8;1;1;1;31;31;31
Square-Sum;20;8;1;1;1;52;52;52
Square-Sum;21;8;94;104;107;3184;3099;3099
Square-Sum;22;8;101;275;96;3363;8232;2718
Square-Sum;23;8;31;34;35;1008;1007;997
Square-Sum;24;8;15;17;16;758;814;687
Square-Sum;25;8;8;11;15;328;438;508
Square-Sum;26;8;83;55;78;3682;2400;3131
Square-Sum;27;8;1;1;1;23;23;23
Square-Sum;28;8;61;71;83;2140;2217;2263
Square-Sum;29;8;1;1;1;33;33;33
Square-Sum;30;8;122;142;161;4511;4670;4727
Square-Sum;31;8;773;887;969;28716;28733;27308
Square-Sum;32;8;1;1;1;11;11;11
Square-Sum;33;8;1;1;1;43;43;43
Square-Sum;34;8;7;7;8;241;241;241
Square-Sum;35;8;4;4;5;192;142;193
Square-Sum;36;8;88;77;83;2571;2045;2036
Square-Sum;37;8;3472;4166;3926;125125;130587;113619
Square-Sum;38;8;1;1;1;15;15;15
Square-Sum;39;8;5185;6922;6581;181992;209808;172935
Square-Sum;40;8;23;24;25;865;860;860
Square-Sum;41;8;9;10;11;399;403;397
Square-Sum;42;8;1;1;1;54;54;54
Square-Sum;43;8;218;677;298;8382;22086;8171
Square-Sum;44;8;1;1;1;23;23;23
Square-Sum;45;8;48;20;33;2462;919;1318
Square-Sum;46;8;47;45;51;1362;1091;1245
Square-Sum;47;8;928;1184;1085;32750;36413;29440
Square-Sum;48;8;253;237;313;9167;7442;8511
Square-Sum;49;8;1;1;1;56;56;56
Square-Sum;50;8;101;137;178;3275;4052;4764
Square-Sum;51;8;1372;1859;1815;45456;53261;45252
Square-Sum;52;8;7;3;4;303;164;164
Square-Sum;53;8;190;190;210;7147;6824;6961
Square-Sum;54;8;23;25;22;1007;1022;750
Square-Sum;55;8;81;179;216;2870;5453;5739
Square-Sum;56;8;1;1;1;19;19;19
Square-Sum;57;8;102;110;92;4584;4678;3506
Square-Sum;58;8;9;12;13;492;566;566
Square-Sum;59;8;1;1;1;10;10;10
Square-Sum;60;8;1;1;1;20;20;20
Square-Sum;61;8;1;1;1;77;77;77
Square-Sum;62;8;100;110;161;3619;3266;4468
Square-Sum;63;8;99;251;253;3990;7933;7219
Square-Sum;64;8;14;17;22;440;544;611
Square-Sum;65;8;403;1114;753;15958;37841;22663
Square-Sum;66;8;13;14;15;426;426;426
Square-Sum;67;8;653;2331;3204;19725;64797;77451
Square-Sum;68;8;158;188;197;6192;6304;6070
Square-Sum;69;8;25;29;31;776;784;776
Square-Sum;70;8;107;82;128;3563;2386;3315
Square-Sum;71;8;1;1;1;16;16;16
Square-Sum;72;8;8;9;9;370;370;370
Square-Sum;73;8;5;6;6;223;223;223
Square-Sum;74;8;6;6;6;223;223;223
Square-Sum;75;8;1;1;1;14;14;14
Square-Sum;76;8;10;11;12;389;402;389
Square-Sum;77;8;7;8;9;287;287;315
Square-Sum;78;8;1;1;1;49;49;49
Square-Sum;79;8;685;625;515;20732;17885;13712
Square-Sum;80;8;342;391;719;10737;11264;19186
Square-Sum;81;8;6;19;20;206;609;609
Square-Sum;82;8;17;18;19;773;776;773
Square-Sum;83;8;397;474;510;12999;13394;13311
Square-Sum;84;8;37;42;46;1234;1243;1234
Square-Sum;85;8;10;11;11;396;396;396
Square-Sum;86;8;248;238;269;9447;8234;8139
Square-Sum;87;8;474;527;571;14478;14033;13324
Square-Sum;88;8;12;13;14;381;352;381
Square-Sum;89;8;186;202;220;6638;6830;6823
Square-Sum;90;8;3;3;3;149;149;149
Square-Sum;91;8;25;28;30;911;919;912
Square-Sum;92;8;17;20;19;734;790;734
Square-Sum;93;8;509;427;453;18481;12727;12439
Square-Sum;94;8;2;2;2;58;58;51
Square-Sum;95;8;233;372;352;7553;10587;8897
Square-Sum;96;8;47;49;52;2001;1983;1961
Square-Sum;97;8;45;21;24;1430;680;680
Square-Sum;98;8;42;40;61;1498;1230;1688
Square-Sum;99;8;8;9;9;320;320;320
Square-Sum;100;8;12;13;14;484;491;491
