Condition;instanceID;nD;Time1;Time2;Time3;SearchNodes1;SearchNodes2;SearchNodes3
Staircase-Single;1;8;3;1;1;6;6;6
Staircase-Single;2;8;1;1;1;5;5;5
Staircase-Single;3;8;1;1;1;4;4;4
Staircase-Single;4;8;1;1;1;6;6;6
Staircase-Single;5;8;1;1;1;7;7;7
Staircase-Single;6;8;1;1;1;2;2;2
Staircase-Single;7;8;1;1;1;4;4;4
Staircase-Single;8;8;1;1;1;5;5;5
Staircase-Single;9;8;1;1;1;5;5;5
Staircase-Single;10;8;1;1;1;3;3;3
Staircase-Single;11;8;1;1;1;2;2;2
Staircase-Single;12;8;1;1;1;5;5;5
Staircase-Single;13;8;1;1;1;4;4;4
Staircase-Single;14;8;1;1;1;3;3;3
Staircase-Single;15;8;1;1;1;4;4;4
Staircase-Single;16;8;1;1;1;4;4;4
Staircase-Single;17;8;1;1;1;2;2;2
Staircase-Single;18;8;1;1;1;5;5;5
Staircase-Single;19;8;1;1;1;4;4;4
Staircase-Single;20;8;1;1;1;1;1;1
Staircase-Single;21;8;1;1;1;7;7;7
Staircase-Single;22;8;1;1;1;5;5;5
Staircase-Single;23;8;1;1;1;6;6;6
Staircase-Single;24;8;1;1;1;3;3;3
Staircase-Single;25;8;1;1;1;3;3;3
Staircase-Single;26;8;1;1;1;2;2;2
Staircase-Single;27;8;1;1;1;3;3;3
Staircase-Single;28;8;1;1;1;1;1;1
Staircase-Single;29;8;1;1;1;2;2;2
Staircase-Single;30;8;1;1;1;4;4;4
Staircase-Single;31;8;1;1;1;3;3;3
Staircase-Single;32;8;1;1;1;5;5;5
Staircase-Single;33;8;1;1;1;6;6;6
Staircase-Single;34;8;1;1;1;8;8;8
Staircase-Single;35;8;1;1;1;5;5;5
Staircase-Single;36;8;1;1;1;8;8;8
Staircase-Single;37;8;1;1;1;2;2;2
Staircase-Single;38;8;1;1;1;5;5;5
Staircase-Single;39;8;1;1;1;6;6;6
Staircase-Single;40;8;1;1;1;3;3;3
Staircase-Single;41;8;1;1;1;3;3;3
Staircase-Single;42;8;1;1;1;5;5;5
Staircase-Single;43;8;1;1;1;4;4;4
Staircase-Single;44;8;1;1;1;4;4;4
Staircase-Single;45;8;1;1;1;2;2;2
Staircase-Single;46;8;1;1;1;5;5;5
Staircase-Single;47;8;1;1;1;6;6;6
Staircase-Single;48;8;1;1;1;4;4;4
Staircase-Single;49;8;1;1;1;2;2;2
Staircase-Single;50;8;1;1;1;5;5;5
Staircase-Single;51;8;1;1;1;2;2;2
Staircase-Single;52;8;1;1;1;2;2;2
Staircase-Single;53;8;1;1;1;6;6;6
Staircase-Single;54;8;1;1;1;6;6;6
Staircase-Single;55;8;1;1;1;6;6;6
Staircase-Single;56;8;1;1;1;5;5;5
Staircase-Single;57;8;1;1;1;2;2;2
Staircase-Single;58;8;1;1;1;5;5;5
Staircase-Single;59;8;1;1;1;3;3;3
Staircase-Single;60;8;1;1;1;6;6;6
Staircase-Single;61;8;1;1;1;6;6;6
Staircase-Single;62;8;1;1;1;5;5;5
Staircase-Single;63;8;1;1;1;9;9;9
Staircase-Single;64;8;1;1;1;3;3;3
Staircase-Single;65;8;1;1;1;5;5;5
Staircase-Single;66;8;1;1;1;4;4;4
Staircase-Single;67;8;1;1;1;3;3;3
Staircase-Single;68;8;1;1;1;6;6;6
Staircase-Single;69;8;1;1;1;5;5;5
Staircase-Single;70;8;1;1;1;7;7;7
Staircase-Single;71;8;1;1;1;4;4;4
Staircase-Single;72;8;1;1;1;6;6;6
Staircase-Single;73;8;1;1;1;3;3;3
Staircase-Single;74;8;1;1;1;4;4;4
Staircase-Single;75;8;1;1;1;3;3;3
Staircase-Single;76;8;1;1;1;4;4;4
Staircase-Single;77;8;1;1;1;3;3;3
Staircase-Single;78;8;1;1;1;8;8;8
Staircase-Single;79;8;1;1;1;4;4;4
Staircase-Single;80;8;1;1;1;6;6;6
Staircase-Single;81;8;1;1;1;4;4;4
Staircase-Single;82;8;1;1;1;3;3;3
Staircase-Single;83;8;1;1;1;5;5;5
Staircase-Single;84;8;1;1;1;3;3;3
Staircase-Single;85;8;1;1;1;2;2;2
Staircase-Single;86;8;1;1;1;4;4;4
Staircase-Single;87;8;1;1;1;7;7;7
Staircase-Single;88;8;1;1;1;7;7;7
Staircase-Single;89;8;1;1;1;9;9;9
Staircase-Single;90;8;1;1;1;4;4;4
Staircase-Single;91;8;1;1;1;4;4;4
Staircase-Single;92;8;1;1;1;5;5;5
Staircase-Single;93;8;1;1;1;4;4;4
Staircase-Single;94;8;1;1;1;4;4;4
Staircase-Single;95;8;1;1;1;4;4;4
Staircase-Single;96;8;1;1;1;4;4;4
Staircase-Single;97;8;1;1;1;5;5;5
Staircase-Single;98;8;1;1;1;10;10;10
Staircase-Single;99;8;1;1;1;3;3;3
Staircase-Single;100;8;1;1;1;7;7;7
