Condition;instanceID;nD;Time1;Time2;Time3;SearchNodes1;SearchNodes2;SearchNodes3
Staircase-Sum;1;8;7;6;5;51;51;51
Staircase-Sum;2;8;4;4;4;94;94;94
Staircase-Sum;3;8;38;26;28;828;828;828
Staircase-Sum;4;8;8;9;9;281;309;281
Staircase-Sum;5;8;121;135;136;4325;4682;4192
Staircase-Sum;6;8;9;10;10;473;473;473
Staircase-Sum;7;8;52;50;62;2002;1673;1892
Staircase-Sum;8;8;4;5;5;143;143;143
Staircase-Sum;9;8;1;1;1;19;19;19
Staircase-Sum;10;8;3;3;4;89;89;89
Staircase-Sum;11;8;11;21;13;512;898;512
Staircase-Sum;12;8;5794;13449;12504;215967;453420;363706
Staircase-Sum;13;8;1;1;1;23;23;23
Staircase-Sum;14;8;1;1;1;16;16;16
Staircase-Sum;15;8;1;1;1;54;54;54
Staircase-Sum;16;8;87;177;128;3850;6622;4179
Staircase-Sum;17;8;2;2;2;96;96;96
Staircase-Sum;18;8;13;14;15;498;498;498
Staircase-Sum;19;8;1;1;1;46;46;46
Staircase-Sum;20;8;51;61;46;1984;2100;1431
Staircase-Sum;21;8;1;1;1;81;81;81
Staircase-Sum;22;8;36;26;32;1383;916;1002
Staircase-Sum;23;8;118;145;173;5191;5469;5462
Staircase-Sum;24;8;385;830;609;14503;26815;16812
Staircase-Sum;25;8;1;1;1;10;10;10
Staircase-Sum;26;8;2;2;2;88;88;88
Staircase-Sum;27;8;1;1;1;49;49;49
Staircase-Sum;28;8;5;5;6;262;262;262
Staircase-Sum;29;8;86;39;43;3146;1241;1241
Staircase-Sum;30;8;174;204;200;5447;6462;5704
Staircase-Sum;31;8;1;1;1;18;18;18
Staircase-Sum;32;8;2;2;2;101;101;101
Staircase-Sum;33;8;13;14;15;559;559;559
Staircase-Sum;34;8;127;1819;543;4570;59060;15849
Staircase-Sum;35;8;1;1;1;31;31;31
Staircase-Sum;36;8;18;20;21;805;833;805
Staircase-Sum;37;8;1089;1118;310;43443;38915;9303
Staircase-Sum;38;8;68;95;101;3037;3587;3476
Staircase-Sum;39;8;239;227;236;9334;7782;7060
Staircase-Sum;40;8;15;17;18;630;630;630
Staircase-Sum;41;8;1;1;1;21;21;21
Staircase-Sum;42;8;1;1;1;57;57;57
Staircase-Sum;43;8;4;4;6;200;200;200
Staircase-Sum;44;8;9;24;19;432;970;694
Staircase-Sum;45;8;1;2;2;68;68;68
Staircase-Sum;46;8;36;27;30;1463;984;999
Staircase-Sum;47;8;944;1476;1794;33744;50482;52283
Staircase-Sum;48;8;127;193;79;4051;5806;2163
Staircase-Sum;49;8;1;1;1;33;33;33
Staircase-Sum;50;8;474;674;504;18164;22749;15068
Staircase-Sum;51;8;8;9;10;431;431;431
Staircase-Sum;52;8;11;18;20;490;778;792
Staircase-Sum;53;8;21;22;24;961;951;951
Staircase-Sum;54;8;5;5;6;308;308;308
Staircase-Sum;55;8;1029;763;753;40884;25129;20575
Staircase-Sum;56;8;9;10;11;414;412;414
Staircase-Sum;57;8;1;1;1;23;23;23
Staircase-Sum;58;8;158;171;176;5669;5310;4938
Staircase-Sum;59;8;2;2;2;115;115;115
Staircase-Sum;60;8;3;3;3;199;199;199
Staircase-Sum;61;8;2;2;2;138;138;138
Staircase-Sum;62;8;38;43;45;1559;1555;1505
Staircase-Sum;63;8;99;163;758;3198;4696;18685
Staircase-Sum;64;8;175;270;50;7272;9544;1485
Staircase-Sum;65;8;1;1;1;20;20;20
Staircase-Sum;66;8;859;963;1205;32993;31604;34277
Staircase-Sum;67;8;151;123;175;5441;3898;5189
Staircase-Sum;68;8;34;36;40;1317;1293;1293
Staircase-Sum;69;8;58;55;78;2218;1886;2301
Staircase-Sum;70;8;4;5;7;185;185;237
Staircase-Sum;71;8;4;4;4;189;193;192
Staircase-Sum;72;8;1;1;1;45;45;45
Staircase-Sum;73;8;10;11;12;411;411;411
Staircase-Sum;74;8;62;75;82;1960;2193;2012
Staircase-Sum;75;8;49;55;60;1976;1982;1982
Staircase-Sum;76;8;2;2;2;73;73;73
Staircase-Sum;77;8;1;1;1;12;12;12
Staircase-Sum;78;8;2;3;3;115;115;115
Staircase-Sum;79;8;7;9;10;263;309;309
Staircase-Sum;80;8;75;85;72;3227;3281;2349
Staircase-Sum;81;8;36;40;43;1340;1340;1340
Staircase-Sum;82;8;503;562;940;19192;18864;29893
Staircase-Sum;83;8;3;3;3;132;132;132
Staircase-Sum;84;8;359;374;327;13246;12161;9553
Staircase-Sum;85;8;105;93;117;4281;3211;3910
Staircase-Sum;86;8;3;3;4;123;123;123
Staircase-Sum;87;8;720;1121;1720;25381;33081;44820
Staircase-Sum;88;8;21;23;25;599;599;610
Staircase-Sum;89;8;6;9;10;310;391;391
Staircase-Sum;90;8;1;1;1;26;26;26
Staircase-Sum;91;8;69;54;87;3510;2297;3398
Staircase-Sum;92;8;182;322;213;6998;11452;6802
Staircase-Sum;93;8;372;445;685;13361;14864;19336
Staircase-Sum;94;8;2;1;2;101;93;101
Staircase-Sum;95;8;2;2;2;109;109;109
Staircase-Sum;96;8;35;44;49;1007;1243;1243
Staircase-Sum;97;8;22;24;22;825;827;775
Staircase-Sum;98;8;6;6;7;249;249;243
Staircase-Sum;99;8;121;181;268;4630;6498;8536
Staircase-Sum;100;8;2972;3399;3236;100571;100129;84604
