Condition;instanceID;nD;Time1;Time2;Time3;SearchNodes1;SearchNodes2;SearchNodes3
Easy;1010;4;15;2;1;6;6;6
Easy;2609;4;1;1;1;3;3;3
Easy;2508;4;1;1;1;4;4;4
Easy;0910;6;5;2;2;18;18;18
Easy;2709;4;1;1;1;8;8;8
Easy;0810;4;1;1;1;4;4;4
Easy;2408;4;1;1;1;9;9;9
Easy;1110;5;1;1;1;8;8;8
Easy;0110;4;1;1;1;2;2;2
Easy;2608;4;1;1;1;1;1;1
Easy;2509;4;1;1;1;7;7;7
Easy;0310;5;1;1;1;2;2;2
Easy;1310;6;2;2;2;27;27;27
Easy;1210;4;1;1;1;2;2;2
Easy;0210;6;1;1;1;4;4;4
Easy;2708;4;1;1;1;5;5;5
Easy;2409;4;1;1;1;33;33;33
Easy;2809;4;1;1;1;5;5;5
Easy;0710;6;23;19;16;336;336;336
Easy;2909;4;1;1;1;2;2;2
Easy;0610;4;1;1;1;21;21;21
Easy;3009;4;1;1;1;5;5;5
Easy;0410;4;1;1;1;4;4;4
Easy;1410;5;1;1;1;4;4;4
Easy;2808;4;1;1;1;20;20;20
Easy;3108;4;1;1;1;4;4;4
Easy;3008;5;1;1;1;6;6;6
Easy;2309;4;1;1;1;2;2;2
Easy;2908;4;1;1;1;2;2;2
Easy;0510;4;1;1;1;17;17;17
