Condition;instanceID;nD;Time1;Time2;Time3;SearchNodes1;SearchNodes2;SearchNodes3
Hard;2408;10;26;6;5;17;17;17
Hard;0810;11;149;103;92;1568;1568;1496
Hard;2709;16;34;24;18;125;125;130
Hard;1110;6;1;1;1;18;18;18
Hard;0110;13;16;23;17;202;202;202
Hard;1010;16;207;257;218;1945;2430;1991
Hard;0910;16;486;497;520;3912;3907;3897
Hard;2508;10;4;4;5;90;90;90
Hard;2609;11;267;282;298;4962;5004;4991
Hard;1210;9;3;3;3;63;63;63
Hard;0210;14;17;16;16;177;177;177
Hard;2410;16;68;67;69;661;661;661
Hard;2409;10;2;2;2;37;37;37
Hard;2708;10;1;1;1;22;22;22
Hard;2509;10;17;18;18;314;314;312
Hard;2608;10;1;1;1;21;21;21
Hard;1309;16;12;12;13;98;100;100
Hard;0310;12;10;11;11;134;134;134
Hard;1310;7;3;3;4;97;116;116
Hard;0610;6;2;2;2;105;105;105
Hard;2909;16;19;19;19;167;167;167
Hard;3009;14;2;2;2;41;41;41
Hard;2110;16;19;18;18;194;194;194
Hard;0710;10;95;100;104;2226;2226;2226
Hard;1710;16;69;71;71;619;619;619
Hard;2809;13;7;7;7;90;90;90
Hard;2309;8;1;1;1;8;8;8
Hard;3008;13;1;1;1;4;4;4
Hard;2310;16;2881;4482;5291;25685;37783;41160
Hard;1510;15;2;3;2;26;26;26
Hard;0510;9;75;83;86;2292;2410;2410
Hard;2908;10;1;1;1;15;15;15
Hard;2808;10;5;5;5;145;145;145
Hard;0410;8;1;1;1;45;45;45
Hard;1410;16;1521;1074;820;24738;16261;11310
Hard;1409;16;3;3;3;28;28;28
Hard;3108;12;3;3;3;51;51;51
