Condition;instanceID;nD;Time1;Time2;Time3;SearchNodes1;SearchNodes2;SearchNodes3
Medium;2608;7;20;5;3;11;11;11
Medium;2509;10;3;2;2;5;5;5
Medium;1310;6;1;1;1;6;6;6
Medium;0310;11;4;4;5;14;14;14
Medium;0210;5;1;1;1;6;6;6
Medium;1210;8;2;1;1;8;8;8
Medium;2708;8;6;7;6;64;64;64
Medium;2409;8;34;38;32;455;454;454
Medium;1010;10;6;7;5;68;68;68
Medium;2609;7;1;1;1;11;11;11
Medium;2508;6;2;3;2;47;47;47
Medium;0910;10;59;49;64;690;690;846
Medium;2709;5;2;1;1;91;91;91
Medium;0810;11;1;1;1;2;2;2
Medium;2408;7;1;1;1;8;8;8
Medium;0110;9;1;1;1;25;25;25
Medium;1110;8;11;11;12;262;262;262
Medium;1410;6;1;1;1;19;19;19
Medium;0410;8;2;2;2;52;52;52
Medium;2808;6;1;1;1;12;12;12
Medium;3108;4;1;1;1;15;15;15
Medium;3008;6;4;4;3;105;105;105
Medium;2309;10;12;11;13;177;177;177
Medium;2908;6;1;1;1;3;3;3
Medium;0510;5;1;1;1;15;15;15
Medium;2809;10;4;4;5;62;62;62
Medium;0710;9;15;16;16;309;309;309
Medium;2909;8;2;1;1;57;57;57
Medium;0610;8;1;1;1;28;28;28
Medium;3009;5;1;1;1;6;6;6
